"external_gene_name","entrezgene_id"
"UBQLN2",29978
"NFIC",4782
"RASL10B",91608
"MED24",9862
"C17orf50",146853
"PEX12",5193
"MMP28",79148
"GAS2L2",246176
"HEATR9",256957
"TNK2",10188
"HLA-A",3105
"AP2B1",163
"HLA-G",3135
"THRA",7067
"ARHGAP27",201176
"ABCA12",26154
"NR1D1",9572
"CAMK4",814
"PBX2",5089
"IL17A",3605
"STAT3",6774
"IL17F",112744
"FLI1",2313
"TAF15",8148
"SLC9A5",6553
"STK16",8576
"RAPH1",65059
"FHOD1",29109
"ANKZF1",55139
"IPO9",55705
"VHLL",391104
"MPC2",25874
"DCAF6",55827
"GPSM3",63940
"NAV1",89796
"NOTCH4",4855
"TUBA4B",80086
"TUBA4A",7277
"SMN2",6606
"SMN2",6607
"GLB1L",79411
"ABI2",10152
"CCL3L3",6349
"CCL3L3",414062
"SMIM24",284422
"DOHH",83475
"CXorf56",63932
"GFRA3",2676
"PHAX",51808
"MICA",100507436
"SNX33",257364
"IMP3",55272
"RENBP",5973
"CCL4L2",9560
"CCL4L2",388372
"SH2D3A",10045
"TEX43",389320
"CAVIN1",284119
"ATP11C",286410
"DNAH7",56171
"DDR1",780
"CSPG4",1464
"ZNRD1",30834
"MCM3",4172
"TBC1D3I",414060
"TBC1D3I",102724862
"CD34",947
"ODF3L1",161753
"PLEKHM1",9842
"LMNB1",4001
"CCND3",896
"SLC46A1",113235
"NREP",9315
"TMEM199",147007
"CDC25C",995
"SEBOX",645832
"HMG20B",10362
"VTN",7448
"STARD4",134429
"FZR1",51343
"FAM53C",51307
"SARM1",23098
"ZFHX3",463
"KCNJ1",3758
"SCGB1C2",653486
"MFSD12",126321
"SKOR1",390598
"UBE2A",7319
"ANKRD11",29123
"C19orf71",100128569
"HCFC1",3054
"NKRF",55922
"MARCHF3",115123
"C5orf63",401207
"DOC2B",8447
"TMEM187",8269
"STK17B",9262
"MEGF10",84466
"ATAT1",79969
"MAPT",4137
"ARPC5",10092
"VPS33B",26276
"SPPL2C",162540
"LINC02210-CRHR1",1394
"LINC02210-CRHR1",104909134
"STH",246744
"EFHC1",114327
"UBE2Q2",92912
"PRC1",9055
"SHISA4",149345
"LMOD1",25802
"TRAM2",9697
"PAQR8",85315
"CXorf66",347487
"ATIC",471
"RPH3AL",9501
"APOBEC4",403314
"RGL1",23179
"PLXNA2",5362
"SOX3",6658
"GPR161",23432
"TIMM17A",10440
"TIPRL",261726
"TAF8",129685
"ATP6V0A1",535
"COLGALT2",23127
"VAV1",7409
"SPANXB1",728695
"LDOC1",23641
"SFT2D2",375035
"SPANXC",64663
"SPANXA2",728712
"SPANXA1",30014
"NMB",4828
"SPANXD",64648
"PSMD7",5713
"TSEN15",116461
"TBX19",9095
"C6orf132",647024
"HLA-DQA1",3117
"MAGEC3",139081
"FBXO22",26263
"MAGEC1",9947
"MAGEC2",51438
"IRAK1",3654
"NRG4",145957
"SEC11A",23478
"HECW2",57520
"FAM174C",55009
"SPANXN4",441525
"SPANXN3",139067
"C1orf21",81563
"GTF2H4",2968
"VARS2",57176
"EFNA2",1943
"AL096814.1",114841037
"SLITRK4",139065
"GUCA1A",2978
"SPANXN2",494119
"XCL2",6846
"ZNF592",9640
"SPANXN1",494118
"SLITRK2",84631
"ELF3",1999
"EDEM3",80267
"RNPEP",6051
"MSL1",339287
"ALPK3",57538
"PWWP3A",84939
"HSD17B1",3292
"MUC20",200958
"COASY",80347
"SLC43A2",124935
"NAGLU",4669
"LTB",4050
"GIPC3",126326
"TBXA2R",6915
"GDI1",2664
"CACTIN",58509
"XCL1",6375
"SEPTIN6",23157
"AARSD1",80755
"PTGES3L-AARSD1",100885850
"MECP2",4204
"PTGES3L",100885848
"EEF1A1",1915
"DPT",1805
"GUCA1B",2979
"NPIPB15",440348
"MRPS10",55173
"SLC17A5",26503
"RABIF",5877
"CLEC18B",497190
"CD109",135228
"DHX16",8449
"C6orf136",221545
"LST1",7940
"CCDC181",57821
"NME7",29922
"NCR3",259197
"ARRDC4",91947
"BLZF1",8548
"ATP1B1",481
"KLHL12",59349
"TRERF1",55809
"FAM50A",9130
"SCARF1",8578
"SIRT6",51548
"SOWAHD",347454
"RPL39",6170
"UPF3B",65109
"RUNDC1",146923
"RILP",83547
"ADIPOR1",51094
"RPL27",6155
"GLG1",2734
"LAGE3",8270
"PLXNA3",55558
"IGF1R",3480
"WDR4",10785
"PGPEP1L",145814
"SYNM",23336
"CYB5R1",51706
"UBL4A",8266
"IFI35",3430
"SLC10A3",8273
"GTF3C3",9330
"ANKRD24",170961
"C17orf98",388381
"KLHL36",79786
"CCDC150",284992
"PRRC2A",7916
"STK26",51765
"TMEM183A",92703
"EBI3",10148
"UBR2",23304
"VAT1",10493
"YJU2",55702
"RND2",8153
"SHD",56961
"TMIGD2",126259
"NDUFV3",4731
"RPL23",9349
"RNF113A",7737
"NDUFA1",4694
"PPP1R18",170954
"PPP1R18",107987457
"TTC23",64927
"RASAL2",9462
"USP10",9100
"ETFA",2108
"COL12A1",1303
"FRMD7",90167
"SLC19A1",6573
"TMEM266",123591
"COL18A1",80781
"RFWD3",55159
"FAM3A",60343
"ABHD16A",7920
"PPFIA4",8497
"LASP1",3927
"FSD1",79187
"MBNL3",55796
"LRRC28",123355
"RAP2C",57826
"MYOG",4656
"CRISPLD2",83716
"IL3",3562
"ADORA1",134
"MED16",10025
"CSF2",1437
"COX7A2",1347
"IKBKG",8517
"G6PD",2539
"FBXO47",494188
"FAH",2184
"MYBPH",4608
"CASP10",843
"PDLIM4",8572
"P4HA2",8974
"TEX35",84066
"DRD1",1812
"LY6G6F",259215
"PGBD2",267002
"LY6G6D",58530
"LY6G6D",110599563
"LY6G6F-LY6G6D",110599563
"SLC22A5",6584
"SLC22A4",6583
"PLXDC1",57125
"STAP2",55620
"CHI3L1",1116
"RALGPS2",55103
"TMEM169",92691
"PECR",55825
"ANGPTL1",9068
"MREG",55686
"MPIG6B",80739
"LYSMD4",145748
"SFXN1",94081
"LY6G6C",80740
"CTXND1",100996492
"MEF2A",4205
"ZDHHC7",55625
"WIZ",58525
"MRPL14",64928
"TMEM30A",55754
"KCNH6",81033
"TMEM63B",55362
"KIAA0513",9764
"DCAF7",10238
"CHIT1",1118
"HRH2",3274
"ARNT2",9915
"FILIP1",27145
"RASAL3",64926
"BTG2",7832
"FAM92B",339145
"TACO1",51204
"R3HDM4",91300
"CPLX2",10814
"MPND",84954
"FAM20B",9917
"PGLYRP2",114770
"FMOD",2331
"DDAH2",23564
"THOC3",84321
"CLIC1",1192
"CYP4F22",126410
"ABHD17C",58489
"BAG6",7917
"CEMIP",57214
"MESD",23184
"TOR3A",64222
"KISS1R",84634
"CASP8",841
"APOM",55937
"HS6ST2",90161
"ADAMTS17",170691
"ARL5C",390790
"PRELP",5549
"CAPN11",11131
"XRCC5",7520
"OPTC",26254
"CACNB1",782
"MARCHF4",57574
"ATP2B4",493
"ARID3A",1820
"USP26",83844
"MYMX",101929726
"TFDP3",51270
"DDX42",11325
"SMARCAL1",50485
"GINS2",51659
"GSE1",23199
"CCDC47",57003
"CTAG1A",246100
"STRADA",92335
"ERAP2",64167
"LNPEP",4012
"GPC4",2239
"PCBP3",54039
"LIMD2",80774
"MAP3K3",4215
"FAM153B",202134
"CYP4F8",11283
"CYP4F3",4051
"TAP2",6891
"CYP4F12",66002
"SIMC1",375484
"PSMB9",5698
"PSMB8",5696
"TAP1",6890
"OR10H2",26538
"OR10H3",26532
"CYP4F11",57834
"CYP4F2",8529
"OR10H1",26539
"OR10H5",284433
"KIAA1191",57179
"NOP16",51491
"ARL10",285598
"CLTB",1212
"HIGD2A",192286
"BRD2",6046
"HLA-DMB",3109
"HLA-DMA",3108
"FAF2",23197
"OR10H4",126541
"RNF44",22838
"CDHR2",54825
"GPRIN1",114787
"SNCB",6620
"HLA-DOA",3111
"EIF4E1B",253314
"HLA-DPA1",3113
"HLA-DPB1",3115
"TSPAN17",26262
"UNC5A",90249
"HK3",3101
"COL11A2",1302
"TPM4",7171
"UIMC1",51720
"SLC39A7",7922
"RXRB",6257
"AHI1",54806
"ZNF346",23567
"HSD17B8",7923
"RING1",6015
"HSH2D",84941
"RAB8A",4218
"VPS52",6293
"RPS18",6222
"FGFR4",2264
"CIB3",117286
"PDE7B",27115
"FAM32A",26017
"NSD1",64324
"AP1M1",8907
"B3GALT4",8705
"MTFR2",113115
"PRELID1",27166
"RAB24",53917
"MXD3",83463
"WDR46",9277
"PFDN6",10471
"RGL2",5863
"KLF2",10365
"BCLAF1",9774
"FTSJ3",117246
"PSMC5",5705
"LMAN2",10960
"TAPBP",6892
"RGS14",10636
"SLC34A1",6569
"PFN3",345456
"KIFC1",3833
"PRR7",80758
"GRK6",2870
"F12",2161
"MAP7",9053
"SMARCD2",6603
"EPS15L1",58513
"CSH2",1443
"OR2W1",26692
"OR2B3",442184
"OR2J3",442186
"OR2J2",26707
"GH2",2689
"MAP3K5",4217
"OR14J1",442191
"CSH1",1442
"OR5V1",81696
"OR11A1",26531
"OR12D3",81797
"OR10C1",442194
"OR12D2",26529
"CD79B",974
"CSHL1",1444
"GH1",2688
"OR2H1",26716
"PEX7",5191
"MAS1L",116511
"DBN1",1627
"KLHL10",317719
"RRAGB",10325
"MOG",4340
"RASA1",5921
"MMP17",4326
"MPDZ",8777
"CDC23",8697
"TRIQK",286144
"MTO1",25821
"VWC2L",402117
"GCA",25801
"LRRC29",26231
"KCNH7",90134
"SPAG16",79582
"PRPF40A",55660
"TRPC5OS",100329135
"PDIA2",64714
"OAZ1",4946
"HMGCLL1",54511
"TNNI1",7135
"MOCS1",4337
"SPPL2B",56928
"VMA21",203547
"YIPF3",25844
"FHL1",2273
"PHACTR3",116154
"NRM",11270
"VGF",7425
"BRD8",10902
"ALDH9A1",223
"CYP26C1",340665
"MZF1",7593
"AEN",64782
"ZFP3",124961
"UTP14A",10813
"KCNH4",23415
"GALT",2592
"PHEX",5251
"SYNCRIP",10492
"ZDHHC12",84885
"TJAP1",93643
"IFT20",90410
"LIPC",3990
"ZNF446",55663
"MEIKIN",728637
"RHCG",51458
"IST1",9798
"AMH",268
"MCF2",4168
"TBCEL",219899
"DOP1A",23033
"CMIP",80790
"RWDD2A",112611
"TMEM97",27346
"ATP6V1G3",127124
"ALDH1A2",8854
"ZNF132",7691
"SUMO1",7341
"MIER2",54531
"USP51",158880
"MAGEH1",28986
"ZNF324B",388569
"CBARP",255057
"TRIM56",81844
"NEK7",140609
"ZNF584",201514
"YIPF4",84272
"CHORDC1",26973
"MUC17",140453
"STK11",6794
"ACSF3",197322
"KIF1C",10749
"TCF3",6929
"ZNF837",116412
"PIAS4",51588
"TSLP",85480
"A1BG",1
"SNX14",57231
"ZNF497",162968
"BCAS2",10286
"CDKN2AIPNL",91368
"ELMO3",79767
"WDR36",134430
"PNCK",139728
"GFRAL",389400
"ZNF8",7554
"C2",717
"DYTN",391475
"UBE2B",7320
"SMS",6611
"HCRTR2",3062
"EXOC6",54536
"TFAP2D",83741
"FAM237A",200726
"IL31RA",133396
"ZNF544",27300
"RAD51D",5892
"SFSWAP",6433
"SLC6A8",6535
"MFSD4A",148808
"CFB",629
"BRAP",8315
"ZSCAN22",342945
"VPS9D1",9605
"ZBTB12",221527
"ELK4",2005
"FES",2242
"NBEAL1",65065
"IFIH1",64135
"C6orf201",404220
"NLRC4",58484
"PAGE3",139793
"CPNE2",221184
"CCT6B",10693
"S1PR4",8698
"DEFB110",245913
"TRIM2",23321
"DEFB113",245927
"PML",5371
"MAP3K14",9020
"PAGE5",90737
"BAG2",9532
"RAB5C",5878
"TPBG",7162
"HSPB9",94086
"KRTAP12-2",353323
"KRTAP10-9",386676
"E2F7",144455
"GOLGA2",2801
"CDK18",5129
"CWC25",54883
"FKBP10",60681
"C19orf18",147685
"VIL1",7429
"LY6G5C",80741
"BEND6",221336
"KNL1",57082
"ZNF418",147686
"ZNF587B",100293516
"IKZF2",22807
"PHKA2",5256
"FMNL2",114793
"ZNF814",730051
"KDM5B",10765
"ZNF417",147687
"CYP21A2",1589
"TMUB2",79089
"FZD4",8322
"PRSS23",11098
"CS",1431
"MTHFS",10588
"JUP",3728
"EZH1",2145
"RNF125",54941
"ZNF222",7673
"TDRD12",91646
"NAE1",8883
"DOK3",79930
"TAF9B",51616
"ABCC11",85320
"PRR3",80742
"ANKRD35",148741
"RSAD1",55316
"BFSP2",8419
"ZNF223",7766
"SSTR2",6752
"ABI3",51225
"RNF138",51444
"FAM104A",84923
"U2AF1L4",199746
"TMEM108",66000
"CYSLTR1",10800
"RAPGEF1",2889
"ZNF225",7768
"RAB11B",9230
"SLC16A10",117247
"ZNF292",23036
"RTL3",203430
"SRPK2",6733
"LPAR4",2846
"BLOC1S6",26258
"KLHL14",57565
"ZNF224",7767
"MACC1",346389
"PDSS2",57107
"AIF1",199
"KIRREL1",55243
"GAREM1",64762
"NR2C2AP",126382
"WDR48",57599
"ERN1",2081
"ANGPTL4",51129
"ZNF234",10780
"MEP1B",4225
"FCAR",2204
"NAA11",84779
"GEN1",348654
"AC008878.3",23370
"OLIG3",167826
"JAKMIP2",9832
"GPR55",9290
"HLA-DOB",3112
"GNB1",2782
"PACRG",135138
"TMPRSS6",164656
"ZNF226",7769
"KMT2B",9757
"SOBP",55084
"ARHGEF18",23370
"MYO15A",51168
"DISP1",84976
"C20orf85",128602
"SSR3",6747
"KLHL33",123103
"C10orf67",256815
"ERAL1",26284
"TTC21A",199223
"PRKN",5071
"PKD2L1",9033
"HMMR",3161
"IL17RC",84818
"ANKRD60",140731
"KCTD3",51133
"PNMA1",9240
"TOP1MT",116447
"UNK",85451
"TCP11L1",55346
"RANGRF",29098
"MTFR1",9650
"DIDO1",11083
"CCNA2",890
"H3-3B",3021
"KMT2E",55904
"MAD1L1",8379
"SLC25A35",399512
"TRAF3IP3",80342
"PDHB",5162
"RHBDL3",162494
"MRNIP",51149
"ALOX5",240
"SESN3",143686
"CARMIL1",55604
"IGFLR1",79713
"SPATA3",130560
"CSTF3",1479
"SP6",80320
"RIMBP3C",150221
"FAM222B",55731
"UBE2L3",7332
"GZF1",64412
"UBAC1",10422
"SP2",6668
"LONRF1",91694
"CT47A2",728090
"CALML6",163688
"C17orf75",64149
"SMN1",6606
"ARHGDIA",396
"TEX2",55852
"MARCHF2",51257
"R3HDM1",23518
"SLC7A9",11136
"HAO2",51179
"GK2",2712
"YDJC",150223
"PDE7A",5150
"LRRC20",55222
"TCHHL1",126637
"P2RY10",27334
"STAU1",6780
"GPR174",84636
"TMEM52",339456
"ZNF747",65988
"PPP1R3A",5506
"ZNF768",79724
"SCAPER",49855
"CASP5",838
"PSEN2",5664
"OTUD1",220213
"HNRNPM",4670
"SMAP2",64744
"CLEC7A",64581
"SYNRG",11276
"ALKBH5",54890
"MRM2",29960
"DUSP5",1847
"FAM47A",158724
"EXTL1",2134
"PPP1R2C",80316
"TEKT1",83659
"DRG2",1819
"SLC18B1",116843
"NXN",64359
"NAPB",63908
"KNDC1",85442
"EIF4EBP2",1979
"HSP90AA1",3320
"ZBTB34",403341
"NODAL",4838
"C1orf74",148304
"AHCYL2",23382
"C14orf180",400258
"FBXO39",162517
"VRK1",7443
"ZNF235",9310
"IQSEC1",9922
"ABR",29
"RELCH",57614
"C6orf163",206412
"ACTR3",10096
"PDE4DIP",9659
"ACSL4",2182
"FH",2271
"SMIM8",57150
"TMEM179",388021
"ZNF233",353355
"TACR1",6869
"TMC8",147138
"ITGA10",8515
"GJB7",375519
"ADRA2B",151
"NCR1",9437
"ZNF227",7770
"MAT2B",27430
"SQSTM1",8878
"TIMM29",90580
"HSD3B2",3284
"PTPRN",5798
"ASTL",431705
"EXT2",2132
"WDR20",91833
"TRPC4",7223
"MYBPC3",4607
"LCOR",84458
"RPL32",6161
"TMEM47",83604
"CKAP2",26586
"ITM2A",9452
"SLC29A2",3177
"TNRC6C",57690
"TRAF3IP2",10758
"ZNF285",26974
"SNAP23",8773
"MED7",9443
"DTNBP1",84062
"ZNF112",7771
"RPS12",6206
"OGDHL",55753
"MOK",5891
"ITK",3702
"CAND2",23066
"CD1D",912
"PSENEN",55851
"ZNF595",152687
"ZNF229",7772
"CT47A1",728096
"CHN1",1123
"LIN37",55957
"TBC1D9B",23061
"SIK1",150094
"TBX22",50945
"LILRB4",11006
"TNFAIP3",7128
"ZNF180",7733
"SERINC3",10955
"HSPB6",126393
"GLUD2",2747
"CHML",1122
"UNC13D",201294
"HAVCR2",84868
"RPP21",79897
"RPP21",202658
"KMO",8564
"TMC6",11322
"PROSER3",148137
"C1QTNF6",114904
"KIFAP3",22920
"DOCK10",55619
"C8orf48",157773
"PHOSPHO1",162466
"SYT8",90019
"DLC1",10395
"CCDC153",283152
"FAM71B",153745
"IL2RB",3560
"REV3L",5980
"PDZD3",79849
"SCML4",256380
"KCNE5",23630
"SPAG9",9043
"COL25A1",84570
"FGD2",221472
"RBM8A",9939
"CEACAM20",125931
"MARCHF8",220972
"KIR2DL3",3804
"TPTE2",93492
"TRIM39",56658
"CSTL1",128817
"CCZ1",51622
"AGAP6",414189
"DHCR24",1718
"OPN3",23596
"RCL1",10171
"RRAGA",10670
"TRMT9B",57604
"CA7",766
"ZNF652",22834
"DIO2",1734
"MFSD14A",64645
"WDR64",128025
"POLR3GL",84265
"MGAT4B",11282
"CST11",140880
"KIR3DL3",115653
"RSPH10B",222967
"PEX11B",8799
"DAG1",1605
"CSK",1445
"NOX3",50508
"PATE1",160065
"TAF5L",27097
"SLC30A2",7780
"CD1A",909
"CST8",10047
"SF3B1",23451
"TIMM22",29928
"PARG",8505
"SLC35A3",23443
"ANKRD34A",284615
"PECAM1",5175
"EMILIN2",84034
"TLR5",7100
"LIX1L",128077
"TENT5D",169966
"ANAPC11",51529
"PTPRR",5801
"PATE2",399967
"CEP89",84902
"ADGRG1",9289
"C6orf47",57827
"ZNF764",92595
"DUSP2",1844
"SCD",6319
"PATE3",100169851
"URB2",9816
"LRRC57",255252
"PATE4",399968
"PALD1",27143
"SMIM40",113523636
"PEX26",55670
"DVL2",1856
"TRIM39-RPP21",202658
"MIDEAS",91748
"NIPSNAP1",8508
"NACC2",138151
"GDAP1",54332
"SNX19",399979
"PMCH",5367
"PERP",64065
"IGF1",3479
"LTN1",26046
"DLG5",9231
"DNMT1",1786
"SPATA6",54558
"FAM47B",170062
"TBC1D32",221322
"NADSYN1",55191
"CEACAM16",388551
"MILR1",284021
"APBB3",10307
"IER5L",389792
"IGSF23",147710
"ZNF718",255403
"MTMR12",54545
"TMEM219",124446
"SAAL1",113174
"JPH1",56704
"THOC5",8563
"FAAP24",91442
"BAZ1A",11177
"PVR",5817
"ZNF732",654254
"RHPN2",85415
"CACNA1A",773
"TUBA8",51807
"PARPBP",55010
"MTX2",10651
"ARFGEF3",57221
"CEACAM19",56971
"PIK3CD",5293
"NAIP",4671
"VPS16",64601
"OSGEP",55644
"CRELD1",78987
"MAGEB16",139604
"GPATCH1",55094
"FOXD4L4",349334
"LRRN4CL",221091
"TMEM250",90120
"TAOK3",51347
"PBOV1",59351
"CD1C",911
"ALX4",60529
"DHRS7B",25979
"BCL3",602
"KIR2DL1",3802
"TEX45",374877
"TNIP1",10318
"ARHGEF15",22899
"BSCL2",26580
"CD1B",910
"IL34",146433
"ZNF358",140467
"QKI",9444
"CCER1",196477
"PEX11G",92960
"CBLC",23624
"UTF1",8433
"ARRB1",408
"RDM1",201299
"VENTX",27287
"UNC13A",23025
"TCF20",6942
"CST2",1470
"ZSCAN12",9753
"HYLS1",219844
"EPYC",1833
"NSUN7",79730
"SSTR3",6753
"SPACA5B",729201
"IRF6",3664
"ABCC6",368
"SCRIB",23513
"PRF1",5551
"TMEM61",199964
"ZSCAN23",222696
"EVA1A",84141
"PTH1R",5745
"RAC2",5880
"BSND",7809
"PUS3",83480
"WBP2",23558
"THYN1",29087
"TRIM63",84676
"MFSD4B",91749
"LHX3",8022
"PARD6A",50855
"KANSL1",284058
"APBB2",323
"BCAM",4059
"CNIH1",10175
"INIP",58493
"PCYT2",5833
"ENKD1",84080
"SASS6",163786
"PCED1A",64773
"SLC35B3",51000
"TMEM11",8834
"PRRT3",285368
"KERA",11081
"ODF4",146852
"OLR1",4973
"SMIM28",110806279
"TDRP",157695
"POLG2",11232
"NONO",4841
"ECM1",1893
"C16orf86",388284
"WDR86",349136
"S1PR2",9294
"ZNF688",146542
"HNRNPK",3190
"C2orf72",257407
"PEG10",23089
"STXBP5",134957
"EPN3",55040
"FABP1",2168
"ADAMTS14",140766
"PEAR1",375033
"HNRNPUL2",221092
"DLGAP2",9228
"RAB28",9364
"CASD1",64921
"KRTAP1-5",83895
"DPP7",29952
"KRTAP1-4",728255
"ZNF785",146540
"KRTAP1-3",81850
"KRTAP1-1",81851
"NUB1",51667
"GNG3",2785
"LHX2",9355
"KRTAP2-1",81872
"MED27",9442
"AC037482.2",728279
"KRTAP2-3",730755
"HDAC3",8841
"KRTAP2-4",85294
"HSD3B1",3283
"AC037482.3",100996750
"KRTAP4-8",728224
"ZNF366",167465
"NHSL1",57224
"PTPRA",5786
"CLSTN1",22883
"TMEM52B",120939
"MAMDC2",256691
"CLEC19A",728276
"TRIM47",91107
"PDIK1L",149420
"NECTIN2",5819
"NOP2",4839
"ERICH1",157697
"DTX1",1840
"MYO1A",4640
"NCAN",1463
"SCYL2",55681
"KRTAP4-9",100132386
